sitename,PISCO_CODE,LAT_WGS84,LON_WGS84,associated_mpa,MPA_STATUS,YEAR_MPA,mlpa_region,CAMPUS,year,month,day,method
ABALONE_COVE_KELP_WEST_CEN,,,,,,,,,2011,8,31,SBTL_FISH_VRG
ABALONE_COVE_KELP_WEST_CEN,,,,,,,,,2011,8,31,SBTL_SIZEFREQ_VRG
ABALONE_COVE_KELP_WEST_CEN,,,,,,,,,2011,8,31,SBTL_SWATH_VANTUNA
ABALONE_COVE_KELP_WEST_CEN,,,,,,,,,2011,8,31,SBTL_UPC_VRG
ANACAPA_ADMIRALS_CEN,SADM03,34.002883,-119.4252,Anacapa Island SMCA,reference,0,SCSR,UCSB,1999,9,30,SBTL_FISH
ANACAPA_ADMIRALS_CEN,SADM03,34.002883,-119.4252,Anacapa Island SMCA,reference,0,SCSR,UCSB,2004,10,29,SBTL_FISH_CRANE
ANACAPA_ADMIRALS_CEN,SADM03,34.002883,-119.4252,Anacapa Island SMCA,reference,0,SCSR,UCSB,2005,9,7,SBTL_FISH
ANACAPA_ADMIRALS_CEN,SADM03,34.002883,-119.4252,Anacapa Island SMCA,reference,0,SCSR,UCSB,2006,8,29,SBTL_FISH
ANACAPA_ADMIRALS_CEN,SADM03,34.002883,-119.4252,Anacapa Island SMCA,reference,0,SCSR,UCSB,2007,9,13,SBTL_FISH
ANACAPA_ADMIRALS_CEN,SADM03,34.002883,-119.4252,Anacapa Island SMCA,reference,0,SCSR,UCSB,2007,7,11,SBTL_SWATH
ANACAPA_ADMIRALS_CEN,SADM03,34.002883,-119.4252,Anacapa Island SMCA,reference,0,SCSR,UCSB,2007,7,11,SBTL_UPC
ANACAPA_ADMIRALS_CEN,SADM03,34.002883,-119.4252,Anacapa Island SMCA,reference,0,SCSR,UCSB,2008,9,15,SBTL_FISH
ANACAPA_ADMIRALS_CEN,SADM03,34.002883,-119.4252,Anacapa Island SMCA,reference,0,SCSR,UCSB,2008,5,19,SBTL_SWATH_NPS
ANACAPA_ADMIRALS_CEN,SADM03,34.002883,-119.4252,Anacapa Island SMCA,reference,0,SCSR,UCSB,2008,5,19,SBTL_UPC_NPS
ANACAPA_ADMIRALS_CEN,SADM03,34.002883,-119.4252,Anacapa Island SMCA,reference,0,SCSR,UCSB,2009,9,28,SBTL_FISH
ANACAPA_ADMIRALS_CEN,SADM03,34.002883,-119.4252,Anacapa Island SMCA,reference,0,SCSR,UCSB,2009,7,21,SBTL_QUAD
ANACAPA_ADMIRALS_CEN,SADM03,34.002883,-119.4252,Anacapa Island SMCA,reference,0,SCSR,UCSB,2009,7,21,SBTL_SWATH
ANACAPA_ADMIRALS_CEN,SADM03,34.002883,-119.4252,Anacapa Island SMCA,reference,0,SCSR,UCSB,2009,7,21,SBTL_UPC
ANACAPA_ADMIRALS_E,SADM02,34.003433,-119.418,Anacapa Island SMCA,reference,0,SCSR,UCSB,1999,9,30,SBTL_FISH
ANACAPA_ADMIRALS_E,SADM02,34.003433,-119.418,Anacapa Island SMCA,reference,0,SCSR,UCSB,1999,9,30,SBTL_SWATH
ANACAPA_ADMIRALS_E,SADM02,34.003433,-119.418,Anacapa Island SMCA,reference,0,SCSR,UCSB,1999,9,30,SBTL_UPC
ANACAPA_ADMIRALS_E,SADM02,34.003433,-119.418,Anacapa Island SMCA,reference,0,SCSR,UCSB,2004,10,29,SBTL_FISH_CRANE
ANACAPA_ADMIRALS_E,SADM02,34.003433,-119.418,Anacapa Island SMCA,reference,0,SCSR,UCSB,2005,9,7,SBTL_FISH
ANACAPA_ADMIRALS_E,SADM02,34.003433,-119.418,Anacapa Island SMCA,reference,0,SCSR,UCSB,2006,8,29,SBTL_FISH
ANACAPA_ADMIRALS_E,SADM02,34.003433,-119.418,Anacapa Island SMCA,reference,0,SCSR,UCSB,2007,9,13,SBTL_FISH
ANACAPA_ADMIRALS_E,SADM02,34.003433,-119.418,Anacapa Island SMCA,reference,0,SCSR,UCSB,2007,7,11,SBTL_SWATH
ANACAPA_ADMIRALS_E,SADM02,34.003433,-119.418,Anacapa Island SMCA,reference,0,SCSR,UCSB,2007,7,11,SBTL_UPC
ANACAPA_ADMIRALS_E,SADM02,34.003433,-119.418,Anacapa Island SMCA,reference,0,SCSR,UCSB,2008,9,15,SBTL_FISH
ANACAPA_ADMIRALS_E,SADM02,34.003433,-119.418,Anacapa Island SMCA,reference,0,SCSR,UCSB,2008,5,19,SBTL_SWATH_NPS
ANACAPA_ADMIRALS_E,SADM02,34.003433,-119.418,Anacapa Island SMCA,reference,0,SCSR,UCSB,2008,5,19,SBTL_UPC_NPS
ANACAPA_ADMIRALS_E,SADM02,34.003433,-119.418,Anacapa Island SMCA,reference,0,SCSR,UCSB,2009,9,28,SBTL_FISH
ANACAPA_ADMIRALS_E,SADM02,34.003433,-119.418,Anacapa Island SMCA,reference,0,SCSR,UCSB,2009,7,21,SBTL_QUAD
ANACAPA_ADMIRALS_E,SADM02,34.003433,-119.418,Anacapa Island SMCA,reference,0,SCSR,UCSB,2009,7,21,SBTL_SWATH
ANACAPA_ADMIRALS_E,SADM02,34.003433,-119.418,Anacapa Island SMCA,reference,0,SCSR,UCSB,2009,7,21,SBTL_UPC
ANACAPA_ADMIRALS_W,SADM01,34.00775,-119.434383,Anacapa Island SMCA,reference,0,SCSR,UCSB,2005,9,7,SBTL_FISH
ANACAPA_ADMIRALS_W,SADM01,34.00775,-119.434383,Anacapa Island SMCA,reference,0,SCSR,UCSB,2006,8,29,SBTL_FISH
ANACAPA_ADMIRALS_W,SADM01,34.00775,-119.434383,Anacapa Island SMCA,reference,0,SCSR,UCSB,2007,9,13,SBTL_FISH
ANACAPA_ADMIRALS_W,SADM01,34.00775,-119.434383,Anacapa Island SMCA,reference,0,SCSR,UCSB,2007,7,11,SBTL_SWATH
ANACAPA_ADMIRALS_W,SADM01,34.00775,-119.434383,Anacapa Island SMCA,reference,0,SCSR,UCSB,2007,7,11,SBTL_UPC
ANACAPA_ADMIRALS_W,SADM01,34.00775,-119.434383,Anacapa Island SMCA,reference,0,SCSR,UCSB,2008,9,15,SBTL_FISH
ANACAPA_ADMIRALS_W,SADM01,34.00775,-119.434383,Anacapa Island SMCA,reference,0,SCSR,UCSB,2008,5,19,SBTL_SWATH_NPS
ANACAPA_ADMIRALS_W,SADM01,34.00775,-119.434383,Anacapa Island SMCA,reference,0,SCSR,UCSB,2008,5,19,SBTL_UPC_NPS
ANACAPA_ADMIRALS_W,SADM01,34.00775,-119.434383,Anacapa Island SMCA,reference,0,SCSR,UCSB,2009,9,29,SBTL_FISH
ANACAPA_ADMIRALS_W,SADM01,34.00775,-119.434383,Anacapa Island SMCA,reference,0,SCSR,UCSB,2009,7,21,SBTL_QUAD
ANACAPA_ADMIRALS_W,SADM01,34.00775,-119.434383,Anacapa Island SMCA,reference,0,SCSR,UCSB,2009,7,21,SBTL_SWATH
ANACAPA_ADMIRALS_W,SADM01,34.00775,-119.434383,Anacapa Island SMCA,reference,0,SCSR,UCSB,2009,7,21,SBTL_UPC
ANACAPA_BLACK_SEA_BASS_CEN,SBSB01,34.0126,-119.389183,Anacapa Island SMR,SMR,2003,SCSR,UCSB,2006,8,24,SBTL_FISH
ANACAPA_BLACK_SEA_BASS_CEN,SBSB01,34.0126,-119.389183,Anacapa Island SMR,SMR,2003,SCSR,UCSB,2007,9,4,SBTL_FISH
ANACAPA_BLACK_SEA_BASS_CEN,SBSB01,34.0126,-119.389183,Anacapa Island SMR,SMR,2003,SCSR,UCSB,2008,10,23,SBTL_FISH
